6,7,0,0,0,0,0,0,0,0,0,0,23,0,0,0
0,0,0,18,0,20,22,25,0,0,25,0,24,0,24,23
0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,22
0,0,9,0,0,0,0,0,0,0,0,0,0,11,0,0
0,0,0,19,18,0,0,0,0,0,0,0,0,21,12,0
0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
0,0,0,8,0,0,0,0,0,0,18,3,0,0,0,0
0,0,0,9,0,0,18,0,0,0,1,0,0,0,0,0
0,0,8,9,4,0,0,1,5,0,0,0,0,0,0,0
0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
0,17,0,17,16,0,0,0,0,0,14,10,20,21,0,0
15,16,0,0,0,14,13,0,0,0,0,0,13,12,0,11
